Mon Jun 17 17:16:28 2024    profile/profile_output

         17614174 function calls (16296603 primitive calls) in 11.313 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    199/1    0.001    0.000   12.704   12.704 {built-in method builtins.exec}
        1    0.000    0.000   12.704   12.704 q:\Project\Celestial-Chess\tests\test_speed:22(profile_mcts)
        1    0.000    0.000   12.704   12.704 q:\Project\Celestial-Chess\ai\mcts.py:107(find_best_move)
        1    0.035    0.035   11.668   11.668 q:\Project\Celestial-Chess\ai\mcts.py:115(MCTS)
    10000    0.325    0.000    7.805    0.001 q:\Project\Celestial-Chess\ai\mcts.py:66(simulate)
   134510    0.432    0.000    3.910    0.000 q:\Project\Celestial-Chess\game\chess_game.py:41(update_chessboard)
    10000    0.056    0.000    3.798    0.000 q:\Project\Celestial-Chess\ai\mcts.py:93(tree_policy)
1229449/30001    1.455    0.000    3.093    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    30013    0.105    0.000    2.886    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
   134510    2.387    0.000    2.744    0.000 q:\Project\Celestial-Chess\game\chess_game.py:62(update_adjacent_cells)
90003/30001    0.328    0.000    2.589    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
    10000    0.049    0.000    2.518    0.000 q:\Project\Celestial-Chess\ai\mcts.py:55(expand)
   174478    0.225    0.000    2.243    0.000 q:\Project\Celestial-Chess\game\chess_game.py:230(is_game_over)
    10001    0.022    0.000    2.147    0.000 q:\Project\Celestial-Chess\ai\mcts.py:11(__init__)
   174478    0.096    0.000    2.018    0.000 q:\Project\Celestial-Chess\game\chess_game.py:213(get_board_value)
   174478    0.531    0.000    1.922    0.000 q:\Project\Celestial-Chess\game\chess_game.py:215(<listcomp>)
   134511    0.214    0.000    1.410    0.000 q:\Project\Celestial-Chess\game\chess_game.py:168(get_all_moves)
        1    0.000    0.000    1.036    1.036 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
        1    0.000    0.000    0.987    0.987 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        1    0.000    0.000    0.987    0.987 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        1    0.000    0.000    0.987    0.987 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        1    0.000    0.000    0.987    0.987 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        1    0.000    0.000    0.986    0.986 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
    19969    0.027    0.000    0.834    0.000 q:\Project\Celestial-Chess\ai\mcts.py:47(get_best_child)
    19969    0.134    0.000    0.785    0.000 q:\Project\Celestial-Chess\ai\mcts.py:49(<listcomp>)
   462436    0.381    0.000    0.651    0.000 q:\Project\Celestial-Chess\ai\mcts.py:38(UCB1)
        1    0.000    0.000    0.632    0.632 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:390(__init__)
    251/5    0.000    0.000    0.552    0.110 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\base.py:261(refresh)
   109905    0.174    0.000    0.533    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:210(_deepcopy_tuple)
5402/5078    0.007    0.000    0.520    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    10000    0.024    0.000    0.518    0.000 q:\Project\Celestial-Chess\game\chess_game.py:241(who_is_winner)
   249/57    0.002    0.000    0.517    0.009 <frozen importlib._bootstrap>:1022(_find_and_load)
   233/43    0.001    0.000    0.515    0.012 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   357/43    0.000    0.000    0.508    0.012 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   134510    0.366    0.000    0.506    0.000 q:\Project\Celestial-Chess\game\chess_game.py:93(mark_black_holes)
   225/43    0.001    0.000    0.505    0.012 <frozen importlib._bootstrap>:664(_load_unlocked)
   197/43    0.001    0.000    0.503    0.012 <frozen importlib._bootstrap_external>:877(exec_module)
      251    0.004    0.000    0.501    0.002 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\cpu.py:60(load_additional_registries)
   115/35    0.000    0.000    0.489    0.014 {built-in method builtins.__import__}
  277/273    0.001    0.000    0.388    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
    16456    0.021    0.000    0.356    0.000 q:\Project\Celestial-Chess\game\chess_game.py:153(get_score)
        1    0.000    0.000    0.354    0.354 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        1    0.000    0.000    0.354    0.354 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        1    0.000    0.000    0.354    0.354 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        1    0.000    0.000    0.353    0.353 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
       26    0.001    0.000    0.352    0.014 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
   109905    0.067    0.000    0.350    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:211(<listcomp>)
       78    0.000    0.000    0.337    0.004 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
    16456    0.080    0.000    0.327    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.310    0.310 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\np\arraymath.py:1(<module>)
        1    0.000    0.000    0.298    0.298 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\np\arraymath.py:32(_check_blas)
        1    0.000    0.000    0.298    0.298 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\np\linalg.py:55(ensure_blas)
        1    0.000    0.000    0.297    0.297 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\linalg\__init__.py:1(<module>)
        1    0.000    0.000    0.260    0.260 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:437(run_pass)
   124510    0.080    0.000    0.248    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\random.py:375(choice)
   397440    0.247    0.000    0.247    0.000 q:\Project\Celestial-Chess\game\chess_game.py:155(<genexpr>)
  2500899    0.234    0.000    0.238    0.000 {method 'get' of 'dict' objects}
   134510    0.044    0.000    0.208    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numpy\lib\function_base.py:873(copy)
   259910    0.158    0.000    0.208    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:243(_keep_alive)
      225    0.001    0.000    0.175    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
       26    0.000    0.000    0.165    0.006 <frozen importlib._bootstrap_external>:1174(create_module)
   134535    0.165    0.000    0.165    0.000 {built-in method numpy.array}
    252/6    0.000    0.000    0.165    0.027 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:153(refresh)
       26    0.165    0.006    0.165    0.006 {built-in method _imp.create_dynamic}
   134511    0.159    0.000    0.159    0.000 q:\Project\Celestial-Chess\game\chess_game.py:17(get_zero_index)
   124510    0.114    0.000    0.152    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\random.py:239(_randbelow_with_getrandbits)
  1750794    0.147    0.000    0.147    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.143    0.143 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:182(lower)
   462437    0.130    0.000    0.130    0.000 q:\Project\Celestial-Chess\ai\mcts.py:30(get_win_rate)
        1    0.000    0.000    0.127    0.127 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\linalg\_sketches.py:1(<module>)
   474680    0.125    0.000    0.126    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.125    0.125 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\sparse\__init__.py:1(<module>)
     1062    0.103    0.000    0.120    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
        1    0.000    0.000    0.119    0.119 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:218(lower_normal_function)
      197    0.003    0.000    0.118    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.118    0.118 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:235(lower_function_body)
        9    0.000    0.000    0.118    0.013 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:260(lower_block)
       88    0.001    0.000    0.117    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:442(lower_inst)
   139906    0.111    0.000    0.111    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
       37    0.000    0.000    0.108    0.003 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:650(lower_assign)
      564    0.065    0.000    0.106    0.000 {built-in method builtins.__build_class__}
       23    0.000    0.000    0.105    0.005 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:1170(lower_expr)
        1    0.000    0.000    0.102    0.102 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\linalg\_misc.py:1(<module>)
    20154    0.086    0.000    0.099    0.000 q:\Project\Celestial-Chess\game\chess_game.py:101(mark_adjacent_black_holes)
  1327539    0.098    0.000    0.098    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.097    0.048 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:739(finalize)
      252    0.002    0.000    0.096    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:744(load_additional_registries)
  1172870    0.095    0.000    0.095    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.091    0.091 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\linalg\blas.py:1(<module>)
    252/6    0.001    0.000    0.090    0.015 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:415(_load_builtins)
  2268/54    0.010    0.000    0.087    0.002 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\context.py:428(install_registry)
    90749    0.078    0.000    0.078    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.077    0.077 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\sparse\csgraph\__init__.py:1(<module>)
        1    0.000    0.000    0.077    0.077 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\cpu.py:225(get_executable)
        1    0.000    0.000    0.076    0.076 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:975(get_pointer_to_function)
      3/2    0.000    0.000    0.076    0.038 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:565(_ensure_finalized)
      246    0.000    0.000    0.076    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\templates.py:1046(__init__)
      197    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      239    0.001    0.000    0.074    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\templates.py:1092(_init_once)
   462436    0.073    0.000    0.073    0.000 {built-in method math.log}
      246    0.001    0.000    0.072    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\templates.py:899(_get_target_registry)
    60002    0.019    0.000    0.071    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:264(<genexpr>)
   859634    0.069    0.000    0.069    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:182(_deepcopy_atomic)
   462436    0.068    0.000    0.068    0.000 {built-in method math.sqrt}
   478594    0.066    0.000    0.066    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.064    0.032 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\imputils.py:148(res)
        2    0.000    0.000    0.064    0.032 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\np\arrayobj.py:2762(array_shape)
        1    0.000    0.000    0.061    0.061 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typing\cffi_utils.py:1(<module>)
        4    0.000    0.000    0.059    0.015 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\np\arrayobj.py:63(make_array)
        1    0.000    0.000    0.056    0.056 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\sparse\csgraph\_laplacian.py:1(<module>)
      231    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.055    0.055 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\cffi\api.py:41(__init__)
        1    0.000    0.000    0.055    0.055 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\scipy\sparse\linalg\__init__.py:1(<module>)
        2    0.000    0.000    0.053    0.027 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
      577    0.002    0.000    0.052    0.000 {built-in method builtins.sorted}
      230    0.000    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      230    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
