Tue Jun 18 16:36:05 2024    profile/profile_output

         56290396 function calls (51168854 primitive calls) in 36.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   36.279   36.279 {built-in method builtins.exec}
        1    0.000    0.000   36.279   36.279 <string>:1(<module>)
        1    0.000    0.000   36.279   36.279 q:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   36.279   36.279 q:\Project\Celestial-Chess\ai\mcts.py:114(find_best_move)
        1    0.193    0.193   36.279   36.279 q:\Project\Celestial-Chess\ai\mcts.py:122(MCTS)
    50000    1.877    0.000   20.907    0.000 q:\Project\Celestial-Chess\ai\mcts.py:69(simulate)
4772345/100001    6.834    0.000   15.114    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    50000    0.296    0.000   14.994    0.000 q:\Project\Celestial-Chess\ai\mcts.py:96(tree_policy)
   100041    0.393    0.000   14.381    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
300003/100001    1.274    0.000   13.318    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
    50000    0.371    0.000   10.931    0.000 q:\Project\Celestial-Chess\ai\mcts.py:53(expand)
    50001    0.132    0.000    8.193    0.000 q:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
   596106    1.907    0.000    8.025    0.000 q:\Project\Celestial-Chess\game\chess_game.py:33(update_chessboard)
   478721    0.887    0.000    4.938    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:210(_deepcopy_tuple)
   478721    0.346    0.000    4.011    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:211(<listcomp>)
   596106    1.346    0.000    3.365    0.000 q:\Project\Celestial-Chess\game\chess_game.py:52(update_adjacent_cells)
   139361    0.518    0.000    3.313    0.000 q:\Project\Celestial-Chess\ai\mcts.py:44(get_best_child)
   596107    0.829    0.000    1.875    0.000 q:\Project\Celestial-Chess\game\chess_game.py:103(get_all_moves)
   139361    0.923    0.000    1.820    0.000 q:\Project\Celestial-Chess\ai\mcts.py:46(<listcomp>)
   596106    1.256    0.000    1.768    0.000 q:\Project\Celestial-Chess\game\chess_game.py:56(mark_black_holes)
  2114886    1.269    0.000    1.665    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:243(_keep_alive)
    50000    0.093    0.000    1.377    0.000 q:\Project\Celestial-Chess\game\chess_game.py:172(who_is_winner)
   835466    0.928    0.000    1.325    0.000 q:\Project\Celestial-Chess\game\chess_game.py:165(is_game_over)
   924828    1.245    0.000    1.245    0.000 {built-in method numpy.array}
   546106    0.469    0.000    1.206    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\random.py:375(choice)
