Tue Jun 18 21:17:20 2024    profile/profile_output

         21842744 function calls (21591850 primitive calls) in 17.457 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   17.457   17.457 {built-in method builtins.exec}
        1    0.000    0.000   17.457   17.457 <string>:1(<module>)
        1    0.000    0.000   17.457   17.457 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   17.457   17.457 g:\Project\Celestial-Chess\ai\mcts.py:104(find_best_move)
        1    0.096    0.096   17.457   17.457 g:\Project\Celestial-Chess\ai\mcts.py:112(MCTS)
    50000    1.468    0.000   11.497    0.000 g:\Project\Celestial-Chess\ai\mcts.py:62(simulate)
   595936    1.472    0.000    6.461    0.000 g:\Project\Celestial-Chess\game\chess_game.py:49(update_chessboard)
    50000    0.205    0.000    5.723    0.000 g:\Project\Celestial-Chess\ai\mcts.py:87(tree_policy)
    50000    0.254    0.000    2.613    0.000 g:\Project\Celestial-Chess\ai\mcts.py:48(expand)
   139361    0.333    0.000    2.563    0.000 g:\Project\Celestial-Chess\ai\mcts.py:41(get_best_child)
   595936    0.993    0.000    2.493    0.000 g:\Project\Celestial-Chess\game\chess_game.py:69(update_adjacent_cells)
   595936    0.944    0.000    1.400    0.000 g:\Project\Celestial-Chess\game\chess_game.py:73(mark_black_holes)
   139361    0.755    0.000    1.346    0.000 g:\Project\Celestial-Chess\ai\mcts.py:43(<listcomp>)
   595937    0.618    0.000    1.335    0.000 g:\Project\Celestial-Chess\game\chess_game.py:123(get_all_moves)
   748441    0.285    0.000    1.298    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   695937    0.362    0.000    1.296    0.000 <__array_function__ internals>:177(copy)
   100001    0.147    0.000    1.270    0.000 g:\Project\Celestial-Chess\game\chess_game.py:39(copy)
    50000    0.073    0.000    1.254    0.000 g:\Project\Celestial-Chess\game\chess_game.py:175(who_is_winner)
