Wed Jun 19 09:31:00 2024    profile/profile_output

         20623849 function calls (20372955 primitive calls) in 18.831 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   18.832   18.832 {built-in method builtins.exec}
        1    0.000    0.000   18.832   18.832 <string>:1(<module>)
        1    0.000    0.000   18.832   18.832 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   18.832   18.832 g:\Project\Celestial-Chess\ai\mcts.py:105(find_best_move)
        1    0.108    0.108   18.832   18.832 g:\Project\Celestial-Chess\ai\mcts.py:113(MCTS)
    50000    1.552    0.000   11.366    0.000 g:\Project\Celestial-Chess\ai\mcts.py:62(simulate)
   596103    1.616    0.000    7.453    0.000 g:\Project\Celestial-Chess\game\chess_game.py:50(update_chessboard)
    50000    0.225    0.000    7.207    0.000 g:\Project\Celestial-Chess\ai\mcts.py:87(tree_policy)
    50000    0.287    0.000    3.611    0.000 g:\Project\Celestial-Chess\ai\mcts.py:48(expand)
   596103    1.073    0.000    3.133    0.000 g:\Project\Celestial-Chess\game\chess_game.py:70(update_adjacent_cells)
   139361    0.385    0.000    2.985    0.000 g:\Project\Celestial-Chess\ai\mcts.py:41(get_best_child)
   596104    0.827    0.000    1.633    0.000 g:\Project\Celestial-Chess\game\chess_game.py:119(get_all_moves)
   748608    0.312    0.000    1.582    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   139361    0.916    0.000    1.571    0.000 g:\Project\Celestial-Chess\ai\mcts.py:43(<listcomp>)
   596103    1.015    0.000    1.493    0.000 g:\Project\Celestial-Chess\game\chess_game.py:74(mark_black_holes)
   696104    0.391    0.000    1.429    0.000 <__array_function__ internals>:177(copy)
   100001    0.160    0.000    1.419    0.000 g:\Project\Celestial-Chess\game\chess_game.py:40(copy)
        2    0.000    0.000    1.320    0.660 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     22/2    0.001    0.000    1.319    0.660 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    1.318    0.659 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    1.318    0.659 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    1.318    0.659 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    1.318    0.659 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        2    0.000    0.000    1.316    0.658 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        2    0.000    0.000    1.315    0.657 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        2    0.000    0.000    1.315    0.657 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        2    0.000    0.000    1.313    0.657 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
    82/54    0.001    0.000    1.313    0.024 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       52    0.003    0.000    1.311    0.025 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
      156    0.001    0.000    1.272    0.008 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
   835465    1.208    0.000    1.208    0.000 {built-in method numpy.array}
   835463    0.770    0.000    1.123    0.000 g:\Project\Celestial-Chess\game\chess_game.py:164(is_game_over)
   100001    0.363    0.000    1.041    0.000 g:\Project\Celestial-Chess\game\chess_game.py:12(__init__)
   596103    0.842    0.000    1.016    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:41(update_by_bfs)
   546103    0.315    0.000    0.842    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:375(choice)
   596104    0.621    0.000    0.806    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:9(get_zero_index)
   696104    0.165    0.000    0.694    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:871(copy)
        2    0.000    0.000    0.681    0.341 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:437(run_pass)
    50000    0.049    0.000    0.672    0.000 <__array_function__ internals>:177(delete)
  3011663    0.655    0.000    0.655    0.000 g:\Project\Celestial-Chess\ai\mcts.py:28(get_win_rate)
   300003    0.637    0.000    0.637    0.000 {built-in method numpy.zeros}
    50000    0.501    0.000    0.577    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:5054(delete)
   596103    0.478    0.000    0.478    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:77(mark_and_expand_over_threshold)
   546103    0.350    0.000    0.465    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:239(_randbelow_with_getrandbits)
        2    0.000    0.000    0.440    0.220 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:182(lower)
    50001    0.067    0.000    0.417    0.000 g:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
        2    0.000    0.000    0.377    0.189 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:105(run_pass)
        2    0.000    0.000    0.377    0.188 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
        2    0.000    0.000    0.370    0.185 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:218(lower_normal_function)
        2    0.000    0.000    0.367    0.184 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:235(lower_function_body)
       20    0.002    0.000    0.367    0.018 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:260(lower_block)
  1192207    0.359    0.000    0.359    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)
      431    0.004    0.000    0.358    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:442(lower_inst)
   835463    0.354    0.000    0.354    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:5(optimized_not_exist_zero_index)
        2    0.000    0.000    0.347    0.173 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1072(propagate)
        8    0.004    0.001    0.346    0.043 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:147(propagate)
      580    0.005    0.000    0.292    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:320(_markup)
      580    0.001    0.000    0.281    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:243(__init__)
      580    0.002    0.000    0.280    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\initialise.py:37(init)
     1160    0.003    0.000    0.278    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\initialise.py:111(wrap_stream)
     1160    0.012    0.000    0.274    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\ansitowin32.py:81(__init__)
      508    0.001    0.000    0.270    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:335(errmsg)
    50000    0.066    0.000    0.231    0.000 g:\Project\Celestial-Chess\game\chess_game.py:171(who_is_winner)
      194    0.001    0.000    0.218    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:650(lower_assign)
       96    0.001    0.000    0.212    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:1170(lower_expr)
