Mon Jun 17 15:11:30 2024    logs/profile_output

         22169907 function calls (20880584 primitive calls) in 12.771 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.145   14.145 {built-in method builtins.exec}
        1    0.000    0.000   14.144   14.144 <string>:1(<module>)
        1    0.000    0.000   14.144   14.144 q:\Project\Celestial-Chess\tests\test_speed:13(profile_code)
        1    0.000    0.000   14.144   14.144 q:\Project\Celestial-Chess\ai\mcts.py:107(find_best_move)
        1    0.035    0.035   14.144   14.144 q:\Project\Celestial-Chess\ai\mcts.py:115(MCTS)
    10000    0.316    0.000   10.133    0.001 q:\Project\Celestial-Chess\ai\mcts.py:66(simulate)
   135072    0.368    0.000    4.271    0.000 q:\Project\Celestial-Chess\game\chess_game.py:32(update_chessboard)
    10000    0.051    0.000    3.947    0.000 q:\Project\Celestial-Chess\ai\mcts.py:93(tree_policy)
1364431/165073    1.757    0.000    3.724    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    30001    0.103    0.000    2.854    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
   135072    2.360    0.000    2.709    0.000 q:\Project\Celestial-Chess\game\chess_game.py:53(update_adjacent_cells)
    10000    0.045    0.000    2.679    0.000 q:\Project\Celestial-Chess\ai\mcts.py:55(expand)
   135073    2.237    0.000    2.587    0.000 q:\Project\Celestial-Chess\game\chess_game.py:159(get_all_moves)
90003/30001    0.323    0.000    2.565    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
   175035    0.225    0.000    2.222    0.000 q:\Project\Celestial-Chess\game\chess_game.py:226(is_game_over)
   175035    0.096    0.000    1.998    0.000 q:\Project\Celestial-Chess\game\chess_game.py:209(get_board_value)
   175035    0.528    0.000    1.902    0.000 q:\Project\Celestial-Chess\game\chess_game.py:211(<listcomp>)
    10001    0.021    0.000    1.307    0.000 q:\Project\Celestial-Chess\ai\mcts.py:11(__init__)
    19964    0.027    0.000    0.832    0.000 q:\Project\Celestial-Chess\ai\mcts.py:47(get_best_child)
    19964    0.132    0.000    0.785    0.000 q:\Project\Celestial-Chess\ai\mcts.py:49(<listcomp>)
   462350    0.385    0.000    0.653    0.000 q:\Project\Celestial-Chess\ai\mcts.py:38(UCB1)
