Mon Jun 17 19:37:27 2024    profile/profile_output

         14950528 function calls (13567097 primitive calls) in 7.207 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000    7.208    7.208 {built-in method builtins.exec}
        1    0.000    0.000    7.208    7.208 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000    7.208    7.208 g:\Project\Celestial-Chess\ai\mcts.py:107(find_best_move)
        1    0.029    0.029    7.014    7.014 g:\Project\Celestial-Chess\ai\mcts.py:115(MCTS)
    10000    0.048    0.000    3.649    0.000 g:\Project\Celestial-Chess\ai\mcts.py:93(tree_policy)
    10000    0.249    0.000    3.310    0.000 g:\Project\Celestial-Chess\ai\mcts.py:66(simulate)
    10000    0.041    0.000    2.507    0.000 g:\Project\Celestial-Chess\ai\mcts.py:55(expand)
1233383/30005    1.147    0.000    2.501    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:128(deepcopy)
    30155    0.091    0.000    2.335    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:259(_reconstruct)
90007/30005    0.292    0.000    2.089    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\copy.py:227(_deepcopy_dict)
   128583    0.300    0.000    1.635    0.000 g:\Project\Celestial-Chess\game\chess_game.py:28(update_chessboard)
    10001    0.018    0.000    1.126    0.000 g:\Project\Celestial-Chess\ai\mcts.py:11(__init__)
        3    0.000    0.000    1.095    0.365 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     13/3    0.000    0.000    1.094    0.365 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        3    0.000    0.000    1.094    0.365 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        3    0.000    0.000    1.094    0.365 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        3    0.000    0.000    1.094    0.365 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        3    0.000    0.000    1.093    0.364 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        3    0.000    0.000    1.091    0.364 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        3    0.000    0.000    1.090    0.363 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        3    0.000    0.000    1.090    0.363 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        3    0.000    0.000    1.089    0.363 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
   109/81    0.000    0.000    1.088    0.013 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       78    0.002    0.000    1.087    0.014 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
      234    0.000    0.000    1.051    0.004 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
   128583    0.226    0.000    1.039    0.000 g:\Project\Celestial-Chess\game\chess_game.py:49(update_adjacent_cells)
   168747    0.155    0.000    0.919    0.000 g:\Project\Celestial-Chess\game\chess_game.py:190(is_game_over)
   168747    0.179    0.000    0.763    0.000 g:\Project\Celestial-Chess\game\chess_game.py:173(get_board_value)
    20165    0.027    0.000    0.673    0.000 g:\Project\Celestial-Chess\ai\mcts.py:47(get_best_child)
