Tue Jun 18 14:37:12 2024    profile/profile_output

         12306870 function calls (11081399 primitive calls) in 6.146 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    6.147    6.147 {built-in method builtins.exec}
        1    0.000    0.000    6.147    6.147 <string>:1(<module>)
        1    0.000    0.000    6.147    6.147 q:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000    6.147    6.147 q:\Project\Celestial-Chess\ai\mcts.py:110(find_best_move)
        1    0.029    0.029    6.146    6.146 q:\Project\Celestial-Chess\ai\mcts.py:118(MCTS)
    10000    0.047    0.000    3.522    0.000 q:\Project\Celestial-Chess\ai\mcts.py:66(simulate)
1031765/10661    1.420    0.000    3.165    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:128(deepcopy)
    10701    0.041    0.000    3.087    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:259(_reconstruct)
31983/10661    0.216    0.000    2.975    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:227(_deepcopy_dict)
    10000    0.117    0.000    2.514    0.000 q:\Project\Celestial-Chess\ai\mcts.py:93(tree_policy)
   138201    0.204    0.000    1.283    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:210(_deepcopy_tuple)
   123821    0.272    0.000    1.204    0.000 q:\Project\Celestial-Chess\ai\mcts.py:44(get_best_child)
   138201    0.088    0.000    1.069    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:211(<listcomp>)
        2    0.000    0.000    1.054    0.527 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     22/2    0.000    0.000    1.054    0.527 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    1.053    0.527 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    1.053    0.527 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    1.053    0.527 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    1.053    0.526 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        2    0.000    0.000    1.051    0.525 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        2    0.000    0.000    1.049    0.525 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        2    0.000    0.000    1.049    0.525 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        2    0.000    0.000    1.048    0.524 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
    78/54    0.000    0.000    1.048    0.019 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       52    0.002    0.000    1.047    0.020 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
      156    0.000    0.000    1.019    0.007 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
      660    0.005    0.000    0.961    0.001 q:\Project\Celestial-Chess\ai\mcts.py:51(expand)
     7324    0.023    0.000    0.909    0.000 q:\Project\Celestial-Chess\game\chess_game.py:33(update_chessboard)
     7324    0.017    0.000    0.850    0.000 q:\Project\Celestial-Chess\game\chess_game.py:52(update_adjacent_cells)
   123821    0.280    0.000    0.531    0.000 q:\Project\Celestial-Chess\ai\mcts.py:46(<listcomp>)
        2    0.000    0.000    0.523    0.261 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:437(run_pass)
   574126    0.283    0.000    0.385    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\copy.py:243(_keep_alive)
      570    0.003    0.000    0.290    0.001 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:320(_markup)
        2    0.000    0.000    0.288    0.144 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:105(run_pass)
        2    0.000    0.000    0.288    0.144 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
        2    0.000    0.000    0.286    0.143 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\lowering.py:182(lower)
      570    0.001    0.000    0.283    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\numba\core\errors.py:243(__init__)
      570    0.002    0.000    0.282    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\initialise.py:37(init)
     1140    0.003    0.000    0.281    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\initialise.py:111(wrap_stream)
     1140    0.009    0.000    0.278    0.000 Q:\ProgramData\miniforge3\envs\toolenv\lib\site-packages\colorama\ansitowin32.py:81(__init__)
