Wed Jun 19 09:25:43 2024    profile/profile_output

         20631178 function calls (20380284 primitive calls) in 19.739 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   19.740   19.740 {built-in method builtins.exec}
        1    0.000    0.000   19.740   19.740 <string>:1(<module>)
        1    0.000    0.000   19.740   19.740 g:\Project\Celestial-Chess\tests\test_speed.py:22(profile_mcts)
        1    0.000    0.000   19.740   19.740 g:\Project\Celestial-Chess\ai\mcts.py:104(find_best_move)
        1    0.113    0.113   19.740   19.740 g:\Project\Celestial-Chess\ai\mcts.py:112(MCTS)
    50000    1.639    0.000   11.971    0.000 g:\Project\Celestial-Chess\ai\mcts.py:62(simulate)
   596473    1.711    0.000    7.610    0.000 g:\Project\Celestial-Chess\game\chess_game.py:50(update_chessboard)
    50000    0.245    0.000    7.498    0.000 g:\Project\Celestial-Chess\ai\mcts.py:87(tree_policy)
    50000    0.310    0.000    3.604    0.000 g:\Project\Celestial-Chess\ai\mcts.py:48(expand)
   139361    0.401    0.000    3.236    0.000 g:\Project\Celestial-Chess\ai\mcts.py:41(get_best_child)
   596473    1.109    0.000    3.114    0.000 g:\Project\Celestial-Chess\game\chess_game.py:70(update_adjacent_cells)
   139361    0.998    0.000    1.788    0.000 g:\Project\Celestial-Chess\ai\mcts.py:43(<listcomp>)
   596474    0.865    0.000    1.775    0.000 g:\Project\Celestial-Chess\game\chess_game.py:119(get_all_moves)
   596473    1.036    0.000    1.562    0.000 g:\Project\Celestial-Chess\game\chess_game.py:74(mark_black_holes)
   748978    0.320    0.000    1.523    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   100001    0.170    0.000    1.518    0.000 g:\Project\Celestial-Chess\game\chess_game.py:40(copy)
   696474    0.392    0.000    1.448    0.000 <__array_function__ internals>:177(copy)
   835835    1.234    0.000    1.234    0.000 {built-in method numpy.array}
        2    0.000    0.000    1.206    0.603 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:343(_compile_for_args)
     22/2    0.001    0.000    1.205    0.603 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:859(compile)
        2    0.000    0.000    1.204    0.602 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:79(compile)
        2    0.000    0.000    1.204    0.602 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:86(_compile_cached)
        2    0.000    0.000    1.204    0.602 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\dispatcher.py:101(_compile_core)
        2    0.000    0.000    1.204    0.602 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:718(compile_extra)
        2    0.000    0.000    1.202    0.601 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:432(compile_extra)
        2    0.000    0.000    1.200    0.600 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:501(_compile_bytecode)
        2    0.000    0.000    1.200    0.600 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler.py:455(_compile_core)
        2    0.000    0.000    1.198    0.599 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:342(run)
    82/54    0.000    0.000    1.198    0.022 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
       52    0.003    0.000    1.196    0.023 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:268(_runPass)
   835833    0.801    0.000    1.174    0.000 g:\Project\Celestial-Chess\game\chess_game.py:164(is_game_over)
      156    0.001    0.000    1.159    0.007 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\compiler_machinery.py:272(check)
   100001    0.382    0.000    1.122    0.000 g:\Project\Celestial-Chess\game\chess_game.py:12(__init__)
   596473    0.882    0.000    1.066    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:41(update_by_bfs)
   546473    0.336    0.000    0.953    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:375(choice)
   596474    0.664    0.000    0.910    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:9(get_zero_index)
  3011659    0.790    0.000    0.790    0.000 g:\Project\Celestial-Chess\ai\mcts.py:28(get_win_rate)
   696474    0.169    0.000    0.702    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:871(copy)
   300003    0.696    0.000    0.696    0.000 {built-in method numpy.zeros}
        2    0.000    0.000    0.638    0.319 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:437(run_pass)
    50000    0.055    0.000    0.604    0.000 <__array_function__ internals>:177(delete)
   546473    0.431    0.000    0.550    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\random.py:239(_randbelow_with_getrandbits)
   596473    0.526    0.000    0.526    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:77(mark_and_expand_over_threshold)
    50000    0.418    0.000    0.501    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:5054(delete)
    50001    0.070    0.000    0.480    0.000 g:\Project\Celestial-Chess\ai\mcts.py:12(__init__)
  1192947    0.429    0.000    0.429    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\serialize.py:30(_numba_unpickle)
   835833    0.373    0.000    0.373    0.000 g:\Project\Celestial-Chess\tools\tools_func.py:5(optimized_not_exist_zero_index)
        2    0.000    0.000    0.350    0.175 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:182(lower)
        2    0.000    0.000    0.316    0.158 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:105(run_pass)
        2    0.000    0.000    0.316    0.158 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typed_passes.py:68(type_inference_stage)
        2    0.000    0.000    0.288    0.144 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1072(propagate)
        8    0.003    0.000    0.288    0.036 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:147(propagate)
        2    0.000    0.000    0.274    0.137 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:218(lower_normal_function)
        2    0.000    0.000    0.272    0.136 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:235(lower_function_body)
       20    0.002    0.000    0.271    0.014 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:260(lower_block)
      431    0.003    0.000    0.263    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:442(lower_inst)
    50000    0.072    0.000    0.247    0.000 g:\Project\Celestial-Chess\game\chess_game.py:171(who_is_winner)
     1719    0.206    0.000    0.235    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\ffi.py:190(__call__)
      580    0.005    0.000    0.207    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:320(_markup)
      580    0.001    0.000    0.197    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:243(__init__)
      580    0.002    0.000    0.196    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\initialise.py:37(init)
     1160    0.003    0.000    0.194    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\initialise.py:111(wrap_stream)
     1160    0.009    0.000    0.190    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\ansitowin32.py:81(__init__)
      508    0.001    0.000    0.187    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:335(errmsg)
        2    0.000    0.000    0.184    0.092 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cpu.py:225(get_executable)
        2    0.000    0.000    0.184    0.092 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:975(get_pointer_to_function)
     12/8    0.000    0.000    0.184    0.023 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:565(_ensure_finalized)
        2    0.000    0.000    0.184    0.092 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:739(finalize)
      194    0.001    0.000    0.177    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:650(lower_assign)
       96    0.001    0.000    0.171    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:1170(lower_expr)
      295    0.010    0.000    0.165    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\types\functions.py:281(get_call_type)
239360/50000    0.157    0.000    0.157    0.000 g:\Project\Celestial-Chess\ai\mcts.py:80(backpropagate)
      225    0.003    0.000    0.149    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:585(resolve)
      316    0.000    0.000    0.140    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:189(resolve_function_type)
      160    0.001    0.000    0.137    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:704(__call__)
      408    0.002    0.000    0.137    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:374(resolve_value_type)
      225    0.001    0.000    0.136    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typeinfer.py:1539(resolve_call)
      316    0.002    0.000    0.134    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\context.py:233(_resolve_user_function_type)
      417    0.003    0.000    0.131    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\typeof.py:27(typeof)
        6    0.000    0.000    0.118    0.020 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:723(add_ir_module)
     1160    0.007    0.000    0.118    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\winterm.py:178(enable_vt_processing)
759643/758658    0.108    0.000    0.109    0.000 {built-in method builtins.len}
    50000    0.072    0.000    0.104    0.000 g:\Project\Celestial-Chess\game\chess_game.py:109(get_score)
   189360    0.065    0.000    0.104    0.000 g:\Project\Celestial-Chess\ai\mcts.py:24(is_fully_expanded)
        2    0.000    0.000    0.100    0.050 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:781(_finalize_final_module)
      208    0.002    0.000    0.097    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\errors.py:536(__init__)
     1509    0.003    0.000    0.097    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\typing\templates.py:348(apply)
        2    0.000    0.000    0.085    0.042 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:996(_finalize_specific)
       81    0.000    0.000    0.085    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:1189(__call__)
       81    0.000    0.000    0.084    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\base.py:1218(wrapper)
        2    0.000    0.000    0.081    0.040 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:667(_optimize_final_module)
        4    0.000    0.000    0.081    0.020 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\passmanagers.py:681(run)
     2320    0.011    0.000    0.080    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:114(winapi_test)
   906653    0.078    0.000    0.078    0.000 {method 'getrandbits' of '_random.Random' objects}
   139361    0.078    0.000    0.078    0.000 g:\Project\Celestial-Chess\tools\mcts_func.py:5(get_best_index)
   696474    0.078    0.000    0.078    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numpy\lib\function_base.py:867(_copy_dispatcher)
       23    0.001    0.000    0.078    0.003 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:726(lower_binop)
        6    0.000    0.000    0.078    0.013 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\codegen.py:1058(wrapper)
        2    0.000    0.000    0.077    0.039 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\binding\executionengine.py:94(finalize_object)
4927/4912    0.003    0.000    0.077    0.000 {built-in method builtins.any}
     4640    0.003    0.000    0.068    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:115(<genexpr>)
   362875    0.054    0.000    0.067    0.000 {built-in method builtins.isinstance}
     2320    0.064    0.000    0.065    0.000 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\colorama\win32.py:108(_winapi_test)
       18    0.001    0.000    0.065    0.004 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\postproc.py:71(run)
       36    0.000    0.000    0.064    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:233(__repr__)
       36    0.000    0.000    0.064    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:207(_get_body_lines)
        2    0.000    0.000    0.064    0.032 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\lowering.py:273(create_cpython_wrapper)
        2    0.000    0.000    0.063    0.032 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\cpu.py:181(create_cpython_wrapper)
       36    0.000    0.000    0.063    0.002 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\module.py:212(<listcomp>)
        4    0.001    0.000    0.062    0.016 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
       84    0.000    0.000    0.060    0.001 G:\ProgramData\miniforge3\envs\chessenv\lib\site-packages\llvmlite\ir\values.py:1013(__str__)
